01-Jun,All,7105,2,7107,1-Jun
02-Jun,All,7703,2,7705,2-Jun
03-Jun,All,8209,64,8273,3-Jun
04-Jun,All,7748,2,7750,4-Jun
05-Jun,All,7452,8,7460,5-Jun
06-Jun,All,6241,14,6255,6-Jun
07-Jun,All,5271,14,5285,7-Jun
08-Jun,All,5566,4,5570,8-Jun
09-Jun,All,6239,11,6250,9-Jun
10-Jun,All,5671,8,5679,10-Jun
11-Jun,All,6849,4,6853,11-Jun
12-Jun,All,5793,6,5799,12-Jun
13-Jun,All,5304,5,5309,13-Jun
14-Jun,All,4949,6,4955,14-Jun
15-Jun,All,5419,6,5425,15-Jun
16-Jun,All,5150,3,5153,16-Jun
17-Jun,All,5738,3,5741,17-Jun
18-Jun,All,6440,5,6445,18-Jun
19-Jun,All,5911,1,5912,19-Jun
20-Jun,All,5293,7,5300,20-Jun
21-Jun,All,4611,8,4619,21-Jun
22-Jun,All,4743,2,4745,22-Jun
23-Jun,All,5244,7,5251,23-Jun
24-Jun,All,5841,8,5849,24-Jun
25-Jun,All,5812,32,5844,25-Jun
26-Jun,All,5803,10,5813,26-Jun
27-Jun,All,5586,3,5589,27-Jun
28-Jun,All,5218,7,5225,28-Jun
29-Jun,All,6437,14,6451,29-Jun
30-Jun,All,6276,16,6292,30-Jun
01-Jul,All,6988,5,6993,1-Jul
02-Jul,All,6982,3,6985,2-Jul
03-Jul,All,6658,11,6669,3-Jul
04-Jul,All,6045,20,6065,4-Jul
05-Jul,All,6387,26,6413,5-Jul
06-Jul,All,7654,11,7665,6-Jul
07-Jul,All,7097,26,7123,7-Jul
08-Jul,All,8868,10,8878,8-Jul
09-Jul,All,9180,7,9187,9-Jul
10-Jul,All,9353,11,9364,10-Jul
11-Jul,All,9105,18,9123,11-Jul
12-Jul,All,8574,40,8614,12-Jul
13-Jul,All,11079,27,11106,13-Jul
14-Jul,All,11618,26,11644,14-Jul
15-Jul,All,13215,13,13228,15-Jul
16-Jul,All,12541,16,12557,16-Jul
17-Jul,All,12528,19,12547,17-Jul
18-Jul,All,10710,12,10722,18-Jul
19-Jul,All,10972,48,11020,19-Jul
20-Jul,All,12366,8,12374,20-Jul
21-Jul,All,11985,7,11992,21-Jul
22-Jul,All,13034,25,13059,22-Jul
23-Jul,All,15573,32,15605,23-Jul
24-Jul,All,15902,26,15928,24-Jul
25-Jul,All,17045,6,17051,25-Jul
26-Jul,All,14516,3,14519,26-Jul
27-Jul,All,16117,26,16143,27-Jul
28-Jul,All,17405,6,17411,28-Jul
29-Jul,All,17170,32,17202,29-Jul
30-Jul,All,16840,17,16857,30-Jul
31-Jul,All,17786,9,17795,31-Jul
01-Aug,All,17150,1,17151,1-Aug
02-Aug,All,15764,6,15770,2-Aug
03-Aug,All,17105,37,17142,3-Aug
04-Aug,All,19819,23,19842,4-Aug
05-Aug,All,20596,34,20630,5-Aug
06-Aug,All,20889,13,20902,6-Aug
07-Aug,All,19257,16,19273,7-Aug
08-Aug,All,18688,10,18698,8-Aug
09-Aug,All,17236,29,17265,9-Aug
10-Aug,All,19991,0,19991,10-Aug
11-Aug,All,20780,15,20795,11-Aug
12-Aug,All,21668,58,21726,12-Aug
13-Aug,All,21468,25,21493,13-Aug
14-Aug,All,20670,8,20678,14-Aug
15-Aug,All,20546,14,20560,15-Aug
16-Aug,All,19740,19,19759,16-Aug
17-Aug,All,19631,7,19638,17-Aug
18-Aug,All,22242,4,22246,18-Aug
19-Aug,All,22948,9,22957,19-Aug
20-Aug,All,23564,23,23587,20-Aug
21-Aug,All,22262,40,22302,21-Aug
22-Aug,All,19807,5,19812,22-Aug
23-Aug,All,17672,8,17680,23-Aug
24-Aug,All,20837,22,20859,24-Aug
25-Aug,All,22642,5,22647,25-Aug
26-Aug,All,24599,8,24607,26-Aug
27-Aug,All,22070,15,22085,27-Aug
28-Aug,All,22597,12,22609,28-Aug
29-Aug,All,20579,7,20586,29-Aug
30-Aug,All,19268,16,19284,30-Aug
31-Aug,All,20897,1,20898,31-Aug
